category,rank,asin,title,price,reviews,url
womens_clothing,30,B0FNC4GM8V,OFEEFAN Womens Tops Short Sleeve Shirts Buttons V Neck Spring Fashion Summer Outfits Plus Size Blouses Dressy Casual,,"4,750",https://www.amazon.com/dp/B0FNC4GM8V
mens_clothing,1,B086KSDTQ4,"Hanes mens Underwear Boxer Briefs Pack, Cool & Breathable Cotton Moisture-wicking Underwear for Men, No Ride Up",,"136,010",https://www.amazon.com/dp/B086KSDTQ4
mens_clothing,2,B00D1ARZMC,"Hanes Men's Undershirt Packs, Stay-Tucked Soft Cotton Undershirts, Best Undershirts for Men, White/Black/Asstd Multipacks",,"92,869",https://www.amazon.com/dp/B00D1ARZMC
mens_clothing,3,B07JCS8NRC,"Gildan Men's Crew T-Shirts, Multipack, Style G1100",,"332,550",https://www.amazon.com/dp/B07JCS8NRC
mens_clothing,4,B0BV241H3F,COOFANDY Men's Linen Shirts Short Sleeve Casual Shirts Button Down Shirt for Men Beach Summer Wedding Shirt,$29.99,"14,800",https://www.amazon.com/dp/B0BV241H3F
mens_clothing,5,B075ZZ7XKD,"Gildan Adult Ultra Cotton T-Shirt, Style G2000, Multipack",,"112,708",https://www.amazon.com/dp/B075ZZ7XKD
mens_clothing,6,B07M989JLF,"Comfort Colors Adult Heavyweight Short Sleeve Tee, Style G1717/G1745, Multipack",,"29,608",https://www.amazon.com/dp/B07M989JLF
mens_clothing,7,B004QF0TFQ,"Dickies Men's Dri-tech Original Moisture Control Crew Socks, Available in M-xxl (6, 12, 18 Pairs)",,"216,433",https://www.amazon.com/dp/B004QF0TFQ
mens_clothing,8,B08JGBB9N1,BALENNZ Athletic Shorts for Men with Pockets and Elastic Waistband Quick Dry Activewear,,"32,795",https://www.amazon.com/dp/B08JGBB9N1
mens_clothing,9,B088WF1PRW,"BAMBOO COOL Men's Ultra Breathable Underwear,No Riding Up Boxer Briefs with ComfortFlexible Waistband,Multipack",$30.33,"16,420",https://www.amazon.com/dp/B088WF1PRW
mens_clothing,10,B00W66LQFO,"Fruit of The Loom Men's Crew Tee Undershirts, Moisture Wicking & Tag Free, Also Available in Big & Tall",,"20,113",https://www.amazon.com/dp/B00W66LQFO
mens_clothing,11,B0C2JMJKSL,"ROXUN Arm Sleeves, Cooling UV Sun Protection Sports Compression for Men/Women",$9.99,"12,958",https://www.amazon.com/dp/B0C2JMJKSL
mens_clothing,12,B01GH5GSLG,Under Armour Men's Tech Golf Polo,,"15,531",https://www.amazon.com/dp/B01GH5GSLG
mens_clothing,13,B07VWT4XRG,FITRELL 3 Pairs Compression Socks for Women and Men 20-30mmHg-Circulation Support Socks,$13.99,"38,724",https://www.amazon.com/dp/B07VWT4XRG
mens_clothing,14,B09P3RHNSY,"NORTHYARD Men's Athletic Running Shorts Gym Workout 7""/9""/5"" Quick Dry Lightweight Sports Basketball Tennis 3 Zipper Pockets",$24.99,"19,928",https://www.amazon.com/dp/B09P3RHNSY
mens_clothing,15,B00HVVVMM6,"Hanes Men's Tank Undershirt Pack, Cotton Tank Undershirt, Moisture-Wicking, Breathable, White or Grey/Black, Multi-Pack",,"21,578",https://www.amazon.com/dp/B00HVVVMM6
mens_clothing,16,B0828MYG9M,"Gildan Adult Heavy Cotton T-Shirt, Style G5000",,"98,313",https://www.amazon.com/dp/B0828MYG9M
mens_clothing,17,B00W80Z87K,Fruit of the Loom Men's Sleeveless Tag Free Moisture Wicking Tank A-Shirt,,"17,364",https://www.amazon.com/dp/B00W80Z87K
mens_clothing,18,B0785VXRX2,Under Armour Men's Tech 2.0 Short-Sleeve T-Shirt,,"25,950",https://www.amazon.com/dp/B0785VXRX2
mens_clothing,19,B08D11NP71,"Fruit of the Loom Men's Coolzone Boxer Briefs, Moisture Wicking & Breathable",$33.91,"6,018",https://www.amazon.com/dp/B08D11NP71
mens_clothing,20,B0D22ZFXNM,Obla Mens Golf Polo Shirts Short Sleeve Dry Fit Performance Moisture Wicking Casual Print Collared Golf Shirts for Men,,"3,998",https://www.amazon.com/dp/B0D22ZFXNM
mens_clothing,21,B088899NY2,Wrangler Authentics Men's Relaxed Fit Stretch Cargo Pant,,"37,049",https://www.amazon.com/dp/B088899NY2
mens_clothing,22,B0018OKNWM,Levi's Men's 505 Regular Fit Jeans (Also Available in Big & Tall),$44.97,"30,385",https://www.amazon.com/dp/B0018OKNWM
mens_clothing,23,B01M3RYHP0,"Fruit of the Loom Men's Underwear Briefs, Tag Free & Moisture Wicking",$26.20,"30,054",https://www.amazon.com/dp/B01M3RYHP0
mens_clothing,24,B078VZ5QBW,Lee Men's Extreme Motion Crossroad Cargo Short,,"16,687",https://www.amazon.com/dp/B078VZ5QBW
mens_clothing,25,B06VZ3RCYS,"Hanes Men’s X-Temp Short Sleeve Polo Shirt, Midweight Men's Shirt",,"35,484",https://www.amazon.com/dp/B06VZ3RCYS
mens_clothing,26,B0BWNHZCCR,NY Threads Men's Athletic Shorts Quick Dry Loose-Fit Lightweight Running Workout Gym Shorts with Pockets,,"5,638",https://www.amazon.com/dp/B0BWNHZCCR
mens_clothing,27,B0BLNQPVMV,"maamgic Mens Swim Trunks with Compression Liner 5 Inch, Quick Dry Bathing Suit with Zipper Pockets, No-Chafing Swim Shorts",$25.56,"4,906",https://www.amazon.com/dp/B0BLNQPVMV
mens_clothing,28,B0CPY7W6JF,Comdecevis Men's Linen Shorts Casual Elastic Waist Drawstring Summer Beach Vacation Yoga Golf Shorts with Pockets,$14.87,"2,081",https://www.amazon.com/dp/B0CPY7W6JF
mens_clothing,29,B0BLN6NFBY,maamgic 2 in 1 Mens Swim Trunks 7 Inch Swim Shorts Swim Suits Board Shorts,$32.99,"4,434",https://www.amazon.com/dp/B0BLN6NFBY
mens_clothing,30,B07JD592BB,Gildan Men's A-Shirts Tanks Multipack,$19.99,"134,577",https://www.amazon.com/dp/B07JD592BB
